Con estrategia
Tablero de 2x2 con 2 caballos preubicados
Tiempo: 1.0904e-05
Tiempo: 6.647e-06
Tiempo: 6.263e-06
Tiempo: 6.122e-06
Tiempo: 6.086e-06
Tiempo: 6.097e-06
Tiempo: 6.154e-06
Tiempo: 6.061e-06
Tiempo: 6.131e-06
Tiempo: 6.053e-06
Tiempo: 6.121e-06
Tiempo: 6.055e-06
Tiempo: 6.11e-06
Tiempo: 6.056e-06
Tiempo: 6.121e-06
Tiempo: 6.052e-06
Tiempo: 6.106e-06
Tiempo: 6.056e-06
Tiempo: 6.118e-06
Tiempo: 6.055e-06
Tiempo: 6.106e-06
Tiempo: 6.053e-06
Tiempo: 6.121e-06
Tiempo: 6.055e-06
Tiempo: 6.109e-06
Tiempo: 6.089e-06
Tiempo: 6.155e-06
Tiempo: 6.079e-06
Tiempo: 6.061e-06
Tiempo: 6.08e-06
Tiempo: 6.092e-06
Tiempo: 6.061e-06
Tiempo: 6.115e-06
Tiempo: 6.092e-06
Tiempo: 6.11e-06
Tiempo: 6.094e-06
Tiempo: 6.088e-06
Tiempo: 6.062e-06
Tiempo: 6.113e-06
Tiempo: 6.052e-06
Tiempo: 6.106e-06
Tiempo: 6.056e-06
Tiempo: 6.133e-06
Tiempo: 6.052e-06
Tiempo: 6.109e-06
Tiempo: 6.092e-06
Tiempo: 6.097e-06
Tiempo: 6.079e-06
Tiempo: 6.091e-06
Tiempo: 6.089e-06
Tiempo: 6.13e-06
Tiempo: 6.055e-06
Tiempo: 6.106e-06
Tiempo: 6.056e-06
Tiempo: 6.121e-06
Tiempo: 6.058e-06
Tiempo: 6.121e-06
Tiempo: 6.056e-06
Tiempo: 6.121e-06
Tiempo: 6.058e-06
Tiempo: 6.121e-06
Tiempo: 6.053e-06
Tiempo: 6.121e-06
Tiempo: 6.052e-06
Tiempo: 6.112e-06
Tiempo: 6.071e-06
Tiempo: 6.118e-06
Tiempo: 6.052e-06
Tiempo: 6.109e-06
Tiempo: 6.092e-06
Tiempo: 6.094e-06
Tiempo: 6.067e-06
Tiempo: 6.058e-06
Tiempo: 6.062e-06
Tiempo: 6.106e-06
Tiempo: 6.052e-06
Tiempo: 6.11e-06
Tiempo: 6.056e-06
Tiempo: 6.118e-06
Tiempo: 6.055e-06
Tiempo: 6.107e-06
Tiempo: 6.092e-06
Tiempo: 6.097e-06
Tiempo: 6.085e-06
Tiempo: 6.082e-06
Tiempo: 6.056e-06
Tiempo: 6.109e-06
Tiempo: 6.055e-06
Tiempo: 6.116e-06
Tiempo: 6.053e-06
Tiempo: 6.139e-06
Tiempo: 6.109e-06
Tiempo: 6.139e-06
Tiempo: 6.08e-06
Tiempo: 6.145e-06
Tiempo: 6.082e-06
Tiempo: 6.118e-06
Tiempo: 6.077e-06
Tiempo: 6.106e-06
Tiempo: 6.052e-06
Tiempo: 6.106e-06
Tiempo: 6.056e-06
Tiempo: 6.136e-06
Tiempo: 6.058e-06
Tiempo: 6.121e-06
Tiempo: 6.059e-06
Tiempo: 6.106e-06
Tiempo: 6.049e-06
Tiempo: 6.121e-06
Tiempo: 6.059e-06
Tiempo: 6.109e-06
Tiempo: 6.085e-06
Tiempo: 6.097e-06
Tiempo: 6.083e-06
Tiempo: 6.082e-06
Tiempo: 6.055e-06
Tiempo: 6.118e-06
Tiempo: 6.053e-06
Tiempo: 6.142e-06
Tiempo: 6.073e-06
Tiempo: 6.115e-06
Tiempo: 6.074e-06
Tiempo: 6.112e-06
Tiempo: 6.094e-06
Tiempo: 6.106e-06
Tiempo: 6.053e-06
Tiempo: 6.121e-06
Tiempo: 6.055e-06
Tiempo: 6.109e-06
Tiempo: 6.092e-06
Tiempo: 6.097e-06
Tiempo: 6.082e-06
Tiempo: 6.085e-06
Tiempo: 6.059e-06
Tiempo: 6.121e-06
Tiempo: 6.067e-06
Tiempo: 6.109e-06
Tiempo: 6.092e-06
Tiempo: 6.1e-06
Tiempo: 6.103e-06
Tiempo: 6.148e-06
Tiempo: 6.116e-06
Tiempo: 6.08e-06
Tiempo: 6.097e-06
Tiempo: 6.088e-06
Tiempo: 6.059e-06
Tiempo: 6.106e-06
Tiempo: 6.085e-06
Tiempo: 6.139e-06
Tiempo: 6.113e-06
Tiempo: 6.079e-06
Tiempo: 6.055e-06
Tiempo: 6.109e-06
Tiempo: 6.089e-06
Tiempo: 6.109e-06
Tiempo: 6.082e-06
Tiempo: 7.95e-06
Tiempo: 6.185e-06
Tiempo: 6.185e-06
Tiempo: 6.128e-06
Tiempo: 6.04e-06
Tiempo: 5.998e-06
Tiempo: 6.029e-06
Tiempo: 6.053e-06
Tiempo: 6.046e-06
Tiempo: 6.049e-06
Tiempo: 6.046e-06
Tiempo: 6.053e-06
Tiempo: 6.043e-06
Tiempo: 6.049e-06
Tiempo: 6.043e-06
Tiempo: 6.05e-06
Tiempo: 6.037e-06
Tiempo: 6.049e-06
Tiempo: 6.04e-06
Tiempo: 6.053e-06
Tiempo: 6.04e-06
Tiempo: 6.049e-06
Tiempo: 6.04e-06
Tiempo: 6.053e-06
Tiempo: 6.04e-06
Tiempo: 6.052e-06
Tiempo: 6.046e-06
Tiempo: 6.047e-06
Tiempo: 6.046e-06
Tiempo: 6.043e-06
Tiempo: 6.04e-06
Tiempo: 6.044e-06
Tiempo: 6.04e-06
Tiempo: 6.052e-06
Tiempo: 6.043e-06
Tiempo: 6.044e-06
Tiempo: 6.037e-06
Tiempo: 6.046e-06
Tiempo: 6.04e-06
Tiempo: 6.047e-06
Tiempo: 6.046e-06
Tiempo: 6.046e-06
Tiempo: 6.037e-06
Tiempo: 6.047e-06
Tiempo: 6.043e-06
Tiempo: 6.046e-06
Tiempo: 6.04e-06
Tiempo: 6.047e-06
Tiempo: 6.043e-06
Tiempo: 6.043e-06
Tiempo: 6.037e-06
Tiempo: 6.044e-06
Tiempo: 6.044e-06
Tiempo: 6.046e-06
Tiempo: 6.046e-06
Tiempo: 6.049e-06
Tiempo: 6.047e-06
Tiempo: 6.043e-06
Tiempo: 6.04e-06
Tiempo: 6.044e-06
Tiempo: 6.041e-06
Tiempo: 6.043e-06
Tiempo: 6.043e-06
Tiempo: 6.052e-06
Tiempo: 6.041e-06
Tiempo: 6.043e-06
Tiempo: 6.043e-06
Tiempo: 6.049e-06
Tiempo: 6.044e-06
Tiempo: 6.052e-06
Tiempo: 6.509e-06
Tiempo: 6.13e-06
Tiempo: 6.091e-06
Tiempo: 5.989e-06
Tiempo: 5.983e-06
Tiempo: 5.989e-06
Tiempo: 5.987e-06
Tiempo: 5.986e-06
Tiempo: 5.99e-06
Tiempo: 6.031e-06
Tiempo: 6.023e-06
Tiempo: 5.95e-06
Tiempo: 5.965e-06
Tiempo: 5.983e-06
Tiempo: 6.013e-06
Tiempo: 5.981e-06
Tiempo: 5.986e-06
Tiempo: 5.981e-06
Tiempo: 5.986e-06
Tiempo: 5.981e-06
Tiempo: 5.983e-06
Tiempo: 5.995e-06
Tiempo: 5.986e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 6.005e-06
Tiempo: 6.016e-06
Tiempo: 6.007e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.933e-06
Tiempo: 5.962e-06
Tiempo: 5.981e-06
Tiempo: 6.013e-06
Tiempo: 5.98e-06
Tiempo: 5.998e-06
Tiempo: 5.98e-06
Tiempo: 5.99e-06
Tiempo: 5.986e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.989e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.986e-06
Tiempo: 5.984e-06
Tiempo: 5.989e-06
Tiempo: 5.984e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.989e-06
Tiempo: 5.98e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.986e-06
Tiempo: 5.981e-06
Tiempo: 6.001e-06
Tiempo: 5.984e-06
Tiempo: 5.983e-06
Tiempo: 5.989e-06
Tiempo: 5.983e-06
Tiempo: 5.989e-06
Tiempo: 5.986e-06
Tiempo: 5.983e-06
Tiempo: 5.999e-06
Tiempo: 5.98e-06
Tiempo: 5.999e-06
Tiempo: 5.98e-06
Tiempo: 5.989e-06
Tiempo: 5.98e-06
Tiempo: 5.986e-06
Tiempo: 5.981e-06
Tiempo: 5.998e-06
Tiempo: 5.99e-06
Tiempo: 5.995e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.981e-06
Tiempo: 5.998e-06
Tiempo: 5.996e-06
Tiempo: 5.986e-06
Tiempo: 5.98e-06
Tiempo: 5.995e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.987e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.981e-06
Tiempo: 5.995e-06
Tiempo: 5.993e-06
Tiempo: 6.001e-06
Tiempo: 5.983e-06
Tiempo: 5.998e-06
Tiempo: 5.995e-06
Tiempo: 5.996e-06
Tiempo: 5.983e-06
Tiempo: 5.996e-06
Tiempo: 5.98e-06
Tiempo: 5.998e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.987e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.989e-06
Tiempo: 5.98e-06
Tiempo: 5.986e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.986e-06
Tiempo: 5.981e-06
Tiempo: 5.998e-06
Tiempo: 5.992e-06
Tiempo: 5.999e-06
Tiempo: 5.98e-06
Tiempo: 6.002e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.986e-06
Tiempo: 5.984e-06
Tiempo: 5.983e-06
Tiempo: 5.984e-06
Tiempo: 5.986e-06
Tiempo: 5.984e-06
Tiempo: 5.989e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.98e-06
Tiempo: 5.986e-06
Tiempo: 5.986e-06
Tiempo: 5.99e-06
Tiempo: 5.98e-06
Tiempo: 5.984e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.981e-06
Tiempo: 5.995e-06
Tiempo: 5.996e-06
Tiempo: 5.983e-06
Tiempo: 5.992e-06
Tiempo: 5.998e-06
Tiempo: 5.992e-06
Tiempo: 6.002e-06
Tiempo: 5.983e-06
Tiempo: 5.99e-06
Tiempo: 5.986e-06
Tiempo: 5.989e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.981e-06
Tiempo: 5.998e-06
Tiempo: 5.99e-06
Tiempo: 5.995e-06
Tiempo: 5.983e-06
Tiempo: 5.986e-06
Tiempo: 5.983e-06
Tiempo: 5.987e-06
Tiempo: 5.98e-06
Tiempo: 5.986e-06
Tiempo: 5.983e-06
Tiempo: 5.986e-06
Tiempo: 5.98e-06
Tiempo: 5.983e-06
Tiempo: 5.987e-06
Tiempo: 5.983e-06
Tiempo: 5.981e-06
Tiempo: 6.001e-06
Tiempo: 5.98e-06
Tiempo: 5.998e-06
Tiempo: 5.983e-06
Tiempo: 5.987e-06
Tiempo: 5.98e-06
Tiempo: 5.987e-06
Tiempo: 5.986e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.986e-06
Tiempo: 5.983e-06
Tiempo: 5.987e-06
Tiempo: 5.986e-06
Tiempo: 5.981e-06
Tiempo: 5.998e-06
Tiempo: 5.989e-06
Tiempo: 5.983e-06
Tiempo: 5.995e-06
Tiempo: 5.999e-06
Tiempo: 5.983e-06
Tiempo: 5.999e-06
Tiempo: 5.98e-06
Tiempo: 5.998e-06
Tiempo: 5.983e-06
Tiempo: 5.992e-06
Tiempo: 5.983e-06
Tiempo: 5.983e-06
Tiempo: 5.981e-06
Tiempo: 5.998e-06
Tiempo: 5.993e-06
Tiempo: 3.185e-05
Tiempo: 1.4095e-05
Tiempo: 6.088e-06
Tiempo: 5.933e-06
Tiempo: 5.983e-06
Tiempo: 5.938e-06
Tiempo: 6.328e-06
Tiempo: 6.04e-06
Tiempo: 6.025e-06
Tiempo: 6.745e-06
Tiempo: 2.55e-06
Tiempo: 2.518e-06
Tiempo: 2.521e-06
Tiempo: 2.508e-06
Tiempo: 2.523e-06
Tiempo: 2.514e-06
Tiempo: 2.529e-06
Tiempo: 2.504e-06
Tiempo: 2.55e-06
Tiempo: 2.518e-06
Tiempo: 2.527e-06
Tiempo: 2.515e-06
Tiempo: 2.51e-06
Tiempo: 2.494e-06
Tiempo: 2.543e-06
Tiempo: 2.516e-06
Tiempo: 2.544e-06
Tiempo: 2.505e-06
Tiempo: 2.506e-06
Tiempo: 2.282e-06
Tiempo: 2.222e-06
Tiempo: 2.193e-06
Tiempo: 2.214e-06
Tiempo: 2.187e-06
Tiempo: 2.21e-06
Tiempo: 2.192e-06
Tiempo: 2.21e-06
Tiempo: 2.189e-06
Tiempo: 2.211e-06
Tiempo: 2.189e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.215e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.187e-06
Tiempo: 2.217e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.187e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.189e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.187e-06
Tiempo: 2.21e-06
Tiempo: 2.189e-06
Tiempo: 2.21e-06
Tiempo: 2.189e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.187e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.215e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.189e-06
Tiempo: 2.21e-06
Tiempo: 2.187e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.19e-06
Tiempo: 2.211e-06
Tiempo: 2.189e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.218e-06
Tiempo: 2.189e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.216e-06
Tiempo: 2.187e-06
Tiempo: 2.209e-06
Tiempo: 2.187e-06
Tiempo: 2.216e-06
Tiempo: 2.189e-06
Tiempo: 2.209e-06
Tiempo: 2.187e-06
Tiempo: 2.215e-06
Tiempo: 2.189e-06
Tiempo: 2.209e-06
Tiempo: 2.187e-06
Tiempo: 2.217e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.189e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.189e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.19e-06
Tiempo: 2.211e-06
Tiempo: 2.187e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.216e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.188e-06
Tiempo: 2.215e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.21e-06
Tiempo: 2.188e-06
Tiempo: 2.211e-06
Tiempo: 2.187e-06
Tiempo: 2.211e-06
Tiempo: 2.383e-06
Tiempo: 2.263e-06
Tiempo: 2.214e-06
Tiempo: 2.211e-06
Tiempo: 2.19e-06
Tiempo: 2.216e-06
Tiempo: 2.191e-06
Tiempo: 2.224e-06
Tiempo: 2.192e-06
Tiempo: 2.213e-06
Tiempo: 2.188e-06
Tiempo: 2.224e-06
Tiempo: 2.188e-06
Tiempo: 2.219e-06
Tiempo: 2.188e-06
Tiempo: 2.225e-06
Tiempo: 2.188e-06
Tiempo: 2.219e-06
Tiempo: 2.188e-06
Tiempo: 2.218e-06
Tiempo: 2.192e-06
Tiempo: 2.215e-06
Tiempo: 2.188e-06
Tiempo: 2.218e-06
Tiempo: 2.191e-06
Tiempo: 2.216e-06
Tiempo: 2.191e-06
Tiempo: 2.219e-06
Tiempo: 2.189e-06
Tiempo: 2.216e-06
Tiempo: 2.191e-06
Tiempo: 2.221e-06
Tiempo: 2.187e-06
Tiempo: 2.211e-06
Tiempo: 2.192e-06
Tiempo: 2.218e-06
Tiempo: 2.191e-06
Tiempo: 2.213e-06
Tiempo: 2.188e-06
Tiempo: 2.22e-06
Tiempo: 2.187e-06
Tiempo: 2.212e-06
Tiempo: 2.188e-06
