Con todo
Tablero de 6x6 con 4 caballos preubicados
Tiempo: 0.026003
Tiempo: 0.0212205
Tiempo: 0.0211624
Tiempo: 0.0209109
Tiempo: 0.0209208
Tiempo: 0.0209345
Tiempo: 0.020917
Tiempo: 0.0209103
Tiempo: 0.0209681
Tiempo: 0.0209119
Tiempo: 0.0209852
Tiempo: 0.0209103
Tiempo: 0.0209384
Tiempo: 0.0209121
Tiempo: 0.0209124
Tiempo: 0.0209455
Tiempo: 0.0209203
Tiempo: 0.0209466
Tiempo: 0.020914
Tiempo: 0.0209167
Tiempo: 0.0209682
Tiempo: 0.0209103
Tiempo: 0.0209134
Tiempo: 0.0209132
Tiempo: 0.0209224
Tiempo: 0.0209363
Tiempo: 0.0209159
Tiempo: 0.0209199
Tiempo: 0.0210818
Tiempo: 0.0209165
Tiempo: 0.0209584
Tiempo: 0.0209239
Tiempo: 0.0209338
Tiempo: 0.0209109
Tiempo: 0.0208966
Tiempo: 0.0209786
Tiempo: 0.0209386
Tiempo: 0.0209508
Tiempo: 0.0209102
Tiempo: 0.0209324
Tiempo: 0.0209697
Tiempo: 0.0209118
Tiempo: 0.0209097
Tiempo: 0.0209142
Tiempo: 0.020956
Tiempo: 0.0209607
Tiempo: 0.0209119
Tiempo: 0.0209163
Tiempo: 0.0209256
Tiempo: 0.0209613
Tiempo: 0.020987
Tiempo: 0.0209238
Tiempo: 0.0209496
Tiempo: 0.0209089
Tiempo: 0.0209135
Tiempo: 0.0209289
Tiempo: 0.0209132
Tiempo: 0.0211384
Tiempo: 0.020924
Tiempo: 0.0209485
Tiempo: 0.0209436
Tiempo: 0.0209142
Tiempo: 0.0209143
Tiempo: 0.0209108
Tiempo: 0.020958
Tiempo: 0.0209724
Tiempo: 0.0209178
Tiempo: 0.0209141
Tiempo: 0.0209538
Tiempo: 0.0209169
Tiempo: 0.0209393
Tiempo: 0.0209134
Tiempo: 0.0209354
Tiempo: 0.020928
Tiempo: 0.0209578
Tiempo: 0.0209297
Tiempo: 0.0209121
Tiempo: 0.0209539
Tiempo: 0.0209137
Tiempo: 0.0209526
Tiempo: 0.0209285
Tiempo: 0.0209003
Tiempo: 0.0209551
Tiempo: 0.0209103
Tiempo: 0.0209336
Tiempo: 0.0210688
Tiempo: 0.0209688
Tiempo: 0.0209146
Tiempo: 0.0209128
Tiempo: 0.0209121
Tiempo: 0.0209756
Tiempo: 0.0209194
Tiempo: 0.0209101
Tiempo: 0.0209154
Tiempo: 0.0209139
Tiempo: 0.0209528
Tiempo: 0.0209166
Tiempo: 0.0209365
Tiempo: 0.020911
Tiempo: 0.0209548
Tiempo: 0.0209304
Tiempo: 0.0209161
Tiempo: 0.020953
Tiempo: 0.0209134
Tiempo: 0.0209103
Tiempo: 0.0211418
Tiempo: 0.0209139
Tiempo: 0.0209248
Tiempo: 0.0209125
Tiempo: 0.0209154
Tiempo: 0.0209245
Tiempo: 0.0209228
Tiempo: 0.0209376
Tiempo: 0.0209621
Tiempo: 0.0210891
Tiempo: 0.0209782
Tiempo: 0.0209186
Tiempo: 0.0209182
Tiempo: 0.0209197
Tiempo: 0.0209511
Tiempo: 0.0209343
Tiempo: 0.0208995
Tiempo: 0.0209151
Tiempo: 0.0209016
Tiempo: 0.020959
Tiempo: 0.0209318
Tiempo: 0.0209272
Tiempo: 0.0209163
Tiempo: 0.0209172
Tiempo: 0.0209272
Tiempo: 0.0209256
Tiempo: 0.0209669
Tiempo: 0.0209148
Tiempo: 0.0209152
Tiempo: 0.0209105
Tiempo: 0.0209241
Tiempo: 0.0209458
Tiempo: 0.0209175
Tiempo: 0.0209162
Tiempo: 0.0209115
Tiempo: 0.0209322
Tiempo: 0.0209254
Tiempo: 0.0209102
Tiempo: 0.0211091
Tiempo: 0.0209272
Tiempo: 0.0209375
Tiempo: 0.0209309
Tiempo: 0.0209156
Tiempo: 0.0209188
Tiempo: 0.0209158
Tiempo: 0.0209263
Tiempo: 0.0209428
Tiempo: 0.0209139
Tiempo: 0.0208888
Tiempo: 0.0209111
Tiempo: 0.0209933
Tiempo: 0.0209253
Tiempo: 0.0209125
Tiempo: 0.0209166
Tiempo: 0.0209616
Tiempo: 0.0209735
Tiempo: 0.0209244
Tiempo: 0.0209579
Tiempo: 0.0209152
Tiempo: 0.0209194
Tiempo: 0.0209323
Tiempo: 0.0209204
Tiempo: 0.0209417
Tiempo: 0.020923
Tiempo: 0.0209551
Tiempo: 0.0209427
Tiempo: 0.0210899
Tiempo: 0.0209124
Tiempo: 0.0209113
Tiempo: 0.0210155
Tiempo: 0.0209753
Tiempo: 0.0209177
Tiempo: 0.0209269
Tiempo: 0.0209142
Tiempo: 0.0209486
Tiempo: 0.0209645
Tiempo: 0.020919
Tiempo: 0.0209108
Tiempo: 0.0209148
Tiempo: 0.0209155
Tiempo: 0.0209376
Tiempo: 0.0209397
Tiempo: 0.020931
Tiempo: 0.0209131
Tiempo: 0.0209094
Tiempo: 0.0209626
Tiempo: 0.0209193
Tiempo: 0.0209188
Tiempo: 0.0209533
Tiempo: 0.0209099
Tiempo: 0.0209338
Tiempo: 0.0209222
Tiempo: 0.0209147
Tiempo: 0.0209167
Tiempo: 0.0209185
Tiempo: 0.0210926
Tiempo: 0.0209521
Tiempo: 0.0209172
Tiempo: 0.0209284
Tiempo: 0.0209112
Tiempo: 0.02093
Tiempo: 0.0209457
Tiempo: 0.0209098
Tiempo: 0.0209455
Tiempo: 0.0209268
Tiempo: 0.0209507
Tiempo: 0.0209186
Tiempo: 0.0209118
Tiempo: 0.0209318
Tiempo: 0.0209174
Tiempo: 0.0209353
Tiempo: 0.020948
Tiempo: 0.020911
Tiempo: 0.0209967
Tiempo: 0.0209065
Tiempo: 0.0209752
Tiempo: 0.0209339
Tiempo: 0.0209193
Tiempo: 0.0209091
Tiempo: 0.0209227
Tiempo: 0.0209309
Tiempo: 0.0209322
Tiempo: 0.0209228
Tiempo: 0.0209406
Tiempo: 0.0210546
Tiempo: 0.0209686
Tiempo: 0.0209184
Tiempo: 0.0209168
Tiempo: 0.0209917
Tiempo: 0.0209691
Tiempo: 0.0209216
Tiempo: 0.0209226
Tiempo: 0.0209267
Tiempo: 0.0209197
Tiempo: 0.0209912
Tiempo: 0.0209873
Tiempo: 0.0209168
Tiempo: 0.0209221
Tiempo: 0.0209201
Tiempo: 0.0209166
Tiempo: 0.0209394
Tiempo: 0.0209191
Tiempo: 0.020922
Tiempo: 0.0209157
Tiempo: 0.020919
Tiempo: 0.0209209
Tiempo: 0.0209427
Tiempo: 0.0209157
Tiempo: 0.0209205
Tiempo: 0.0209115
Tiempo: 0.020905
Tiempo: 0.0209898
Tiempo: 0.0210341
Tiempo: 0.0209553
Tiempo: 0.0209138
Tiempo: 0.0209678
Tiempo: 0.0209249
Tiempo: 0.0209645
Tiempo: 0.0209139
Tiempo: 0.0209365
Tiempo: 0.0209736
Tiempo: 0.0209492
Tiempo: 0.0209089
Tiempo: 0.020915
Tiempo: 0.0209274
Tiempo: 0.020921
Tiempo: 0.0209208
Tiempo: 0.0209665
Tiempo: 0.0209229
Tiempo: 0.0209123
Tiempo: 0.0209638
Tiempo: 0.0209234
Tiempo: 0.0209255
Tiempo: 0.0209336
Tiempo: 0.0209157
Tiempo: 0.0209295
Tiempo: 0.0209311
Tiempo: 0.0209135
Tiempo: 0.0209106
Tiempo: 0.0209167
Tiempo: 0.0209216
Tiempo: 0.0210593
Tiempo: 0.0209483
Tiempo: 0.0209266
Tiempo: 0.0209143
Tiempo: 0.0209188
Tiempo: 0.0209221
Tiempo: 0.0209219
Tiempo: 0.0209514
Tiempo: 0.0209192
Tiempo: 0.0209154
Tiempo: 0.0209506
Tiempo: 0.02091
Tiempo: 0.0209123
Tiempo: 0.0209121
Tiempo: 0.0209918
Tiempo: 0.0209148
Tiempo: 0.0209101
Tiempo: 0.0209611
Tiempo: 0.0209397
Tiempo: 0.0209475
Tiempo: 0.0209193
Tiempo: 0.0209147
Tiempo: 0.0209155
Tiempo: 0.0209119
Tiempo: 0.0209327
Tiempo: 0.0209469
Tiempo: 0.0209262
Tiempo: 0.0209128
Tiempo: 0.0209141
Tiempo: 0.0211406
Tiempo: 0.0210003
Tiempo: 0.0209092
Tiempo: 0.0209129
Tiempo: 0.0209186
Tiempo: 0.0209794
Tiempo: 0.0209196
Tiempo: 0.0209157
Tiempo: 0.0209204
Tiempo: 0.0209175
Tiempo: 0.0209112
Tiempo: 0.0209233
