Con poda
Tablero de 6x6 con 4 caballos preubicados
Tiempo: 0.229356
Tiempo: 0.22098
Tiempo: 0.218999
Tiempo: 0.220622
Tiempo: 0.219846
Tiempo: 0.219631
Tiempo: 0.220906
Tiempo: 0.218656
Tiempo: 0.221562
Tiempo: 0.218928
Tiempo: 0.221419
Tiempo: 0.220611
Tiempo: 0.219356
Tiempo: 0.221078
Tiempo: 0.21877
Tiempo: 0.220826
Tiempo: 0.220138
Tiempo: 0.218862
Tiempo: 0.218872
Tiempo: 0.219071
Tiempo: 0.218912
Tiempo: 0.219076
Tiempo: 0.21881
Tiempo: 0.218882
Tiempo: 0.219076
Tiempo: 0.218918
Tiempo: 0.218884
Tiempo: 0.219045
Tiempo: 0.219126
Tiempo: 0.218952
Tiempo: 0.21903
Tiempo: 0.21882
Tiempo: 0.218856
Tiempo: 0.218813
Tiempo: 0.218954
Tiempo: 0.21911
Tiempo: 0.218974
Tiempo: 0.218866
Tiempo: 0.219589
Tiempo: 0.218913
Tiempo: 0.218833
Tiempo: 0.219027
Tiempo: 0.218839
Tiempo: 0.219073
Tiempo: 0.218772
Tiempo: 0.218893
Tiempo: 0.219004
Tiempo: 0.218909
Tiempo: 0.218853
Tiempo: 0.21893
Tiempo: 0.218737
Tiempo: 0.218868
Tiempo: 0.218748
Tiempo: 0.218811
Tiempo: 0.218898
Tiempo: 0.218797
Tiempo: 0.21879
Tiempo: 0.219025
Tiempo: 0.218863
Tiempo: 0.218883
Tiempo: 0.218833
Tiempo: 0.218908
Tiempo: 0.218887
Tiempo: 0.218815
Tiempo: 0.218844
Tiempo: 0.218835
Tiempo: 0.218869
Tiempo: 0.218819
Tiempo: 0.218764
Tiempo: 0.218806
Tiempo: 0.218881
Tiempo: 0.218818
Tiempo: 0.218907
Tiempo: 0.219127
Tiempo: 0.218808
Tiempo: 0.218756
Tiempo: 0.218978
Tiempo: 0.218772
Tiempo: 0.218772
Tiempo: 0.218753
Tiempo: 0.218818
Tiempo: 0.218946
Tiempo: 0.218854
Tiempo: 0.218887
Tiempo: 0.218789
Tiempo: 0.218841
Tiempo: 0.218807
Tiempo: 0.218881
Tiempo: 0.218851
Tiempo: 0.218871
Tiempo: 0.218753
Tiempo: 0.218791
Tiempo: 0.218768
Tiempo: 0.218977
Tiempo: 0.218862
Tiempo: 0.218933
Tiempo: 0.218781
Tiempo: 0.218883
Tiempo: 0.2189
Tiempo: 0.218942
Tiempo: 0.218772
Tiempo: 0.218843
Tiempo: 0.218794
Tiempo: 0.218864
Tiempo: 0.218911
Tiempo: 0.218865
Tiempo: 0.218863
Tiempo: 0.218883
Tiempo: 0.218878
Tiempo: 0.218809
Tiempo: 0.218765
Tiempo: 0.218888
Tiempo: 0.218896
Tiempo: 0.218756
Tiempo: 0.218979
Tiempo: 0.218869
Tiempo: 0.218893
Tiempo: 0.218885
Tiempo: 0.21896
Tiempo: 0.219153
Tiempo: 0.21892
Tiempo: 0.218934
Tiempo: 0.218884
Tiempo: 0.218817
Tiempo: 0.218861
Tiempo: 0.219008
Tiempo: 0.218959
Tiempo: 0.218951
Tiempo: 0.21893
Tiempo: 0.218929
Tiempo: 0.218986
Tiempo: 0.218819
Tiempo: 0.218834
Tiempo: 0.218966
Tiempo: 0.218839
Tiempo: 0.218796
Tiempo: 0.218899
Tiempo: 0.218776
Tiempo: 0.218822
Tiempo: 0.218943
Tiempo: 0.21908
Tiempo: 0.218879
Tiempo: 0.218805
Tiempo: 0.218884
Tiempo: 0.218796
Tiempo: 0.218882
Tiempo: 0.218825
Tiempo: 0.219732
Tiempo: 0.21893
Tiempo: 0.218988
Tiempo: 0.218795
Tiempo: 0.21886
Tiempo: 0.218967
Tiempo: 0.219656
Tiempo: 0.219238
Tiempo: 0.219005
Tiempo: 0.218937
Tiempo: 0.218967
Tiempo: 0.218822
Tiempo: 0.218918
Tiempo: 0.218946
Tiempo: 0.218819
Tiempo: 0.218927
Tiempo: 0.218919
Tiempo: 0.21894
Tiempo: 0.219118
Tiempo: 0.218927
Tiempo: 0.218987
Tiempo: 0.219032
Tiempo: 0.21902
Tiempo: 0.218896
Tiempo: 0.219319
Tiempo: 0.219709
Tiempo: 0.219399
Tiempo: 0.218837
Tiempo: 0.218904
Tiempo: 0.218861
Tiempo: 0.218967
Tiempo: 0.218994
Tiempo: 0.21887
Tiempo: 0.219069
Tiempo: 0.218907
Tiempo: 0.21886
Tiempo: 0.218842
Tiempo: 0.218786
Tiempo: 0.218886
Tiempo: 0.218733
Tiempo: 0.218869
Tiempo: 0.218869
Tiempo: 0.218838
Tiempo: 0.218732
Tiempo: 0.218927
Tiempo: 0.219113
Tiempo: 0.218876
Tiempo: 0.218945
Tiempo: 0.218803
Tiempo: 0.218857
Tiempo: 0.21885
Tiempo: 0.218809
Tiempo: 0.218766
Tiempo: 0.219062
Tiempo: 0.218844
Tiempo: 0.218823
Tiempo: 0.218929
Tiempo: 0.218995
Tiempo: 0.218885
Tiempo: 0.218821
Tiempo: 0.218901
Tiempo: 0.218869
Tiempo: 0.218833
Tiempo: 0.218842
Tiempo: 0.219192
Tiempo: 0.218844
Tiempo: 0.21899
Tiempo: 0.21887
Tiempo: 0.218975
Tiempo: 0.218948
Tiempo: 0.218877
Tiempo: 0.218892
Tiempo: 0.218762
Tiempo: 0.218761
Tiempo: 0.218896
Tiempo: 0.219008
Tiempo: 0.218921
Tiempo: 0.218809
Tiempo: 0.2189
Tiempo: 0.218913
Tiempo: 0.218946
Tiempo: 0.218993
Tiempo: 0.218832
Tiempo: 0.218852
Tiempo: 0.218831
Tiempo: 0.218828
Tiempo: 0.21879
Tiempo: 0.218776
Tiempo: 0.218868
Tiempo: 0.218829
Tiempo: 0.218822
Tiempo: 0.218732
Tiempo: 0.218936
Tiempo: 0.218895
Tiempo: 0.218813
Tiempo: 0.218814
Tiempo: 0.218758
Tiempo: 0.218849
Tiempo: 0.21894
Tiempo: 0.219588
Tiempo: 0.21884
Tiempo: 0.218937
Tiempo: 0.218949
Tiempo: 0.218841
Tiempo: 0.218901
Tiempo: 0.218787
Tiempo: 0.218769
Tiempo: 0.218839
Tiempo: 0.218819
Tiempo: 0.219325
Tiempo: 0.218708
Tiempo: 0.218913
Tiempo: 0.218851
Tiempo: 0.218838
Tiempo: 0.218825
Tiempo: 0.218903
Tiempo: 0.219261
Tiempo: 0.218879
Tiempo: 0.218869
