Con todo
Tablero de 6x6 con 8 caballos preubicados
Tiempo: 1.1859e-05
Tiempo: 1.0363e-05
Tiempo: 9.379e-06
Tiempo: 9.087e-06
Tiempo: 9.148e-06
Tiempo: 9.168e-06
Tiempo: 9.093e-06
Tiempo: 9.021e-06
Tiempo: 9.103e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.015e-06
Tiempo: 9.093e-06
Tiempo: 9.018e-06
Tiempo: 9.096e-06
Tiempo: 9.018e-06
Tiempo: 9.091e-06
Tiempo: 9.019e-06
Tiempo: 9.097e-06
Tiempo: 9.015e-06
Tiempo: 9.093e-06
Tiempo: 9.018e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.097e-06
Tiempo: 9.019e-06
Tiempo: 9.097e-06
Tiempo: 9.015e-06
Tiempo: 9.093e-06
Tiempo: 9.018e-06
Tiempo: 9.096e-06
Tiempo: 9.018e-06
Tiempo: 9.097e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.015e-06
Tiempo: 9.093e-06
Tiempo: 9.015e-06
Tiempo: 9.093e-06
Tiempo: 9.018e-06
Tiempo: 9.097e-06
Tiempo: 9.019e-06
Tiempo: 9.097e-06
Tiempo: 9.016e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.097e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.016e-06
Tiempo: 9.093e-06
Tiempo: 9.015e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.097e-06
Tiempo: 9.019e-06
Tiempo: 9.097e-06
Tiempo: 9.019e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.096e-06
Tiempo: 9.018e-06
Tiempo: 9.096e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.019e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.096e-06
Tiempo: 9.018e-06
Tiempo: 9.093e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.016e-06
Tiempo: 9.096e-06
Tiempo: 9.018e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.096e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.019e-06
Tiempo: 9.096e-06
Tiempo: 9.015e-06
Tiempo: 9.099e-06
Tiempo: 9.015e-06
Tiempo: 9.093e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 9.016e-06
Tiempo: 9.097e-06
Tiempo: 1.0907e-05
Tiempo: 9.159e-06
Tiempo: 9.094e-06
Tiempo: 9.073e-06
Tiempo: 9.034e-06
Tiempo: 9.027e-06
Tiempo: 9.045e-06
Tiempo: 9.048e-06
Tiempo: 9.036e-06
Tiempo: 9.049e-06
Tiempo: 9.037e-06
Tiempo: 9.031e-06
Tiempo: 9.054e-06
Tiempo: 9.036e-06
Tiempo: 9.033e-06
Tiempo: 9.051e-06
Tiempo: 9.037e-06
Tiempo: 9.037e-06
Tiempo: 9.052e-06
Tiempo: 9.036e-06
Tiempo: 9.036e-06
Tiempo: 9.048e-06
Tiempo: 9.036e-06
Tiempo: 9.037e-06
Tiempo: 9.052e-06
Tiempo: 9.037e-06
Tiempo: 9.036e-06
Tiempo: 9.051e-06
Tiempo: 9.036e-06
Tiempo: 9.033e-06
Tiempo: 9.052e-06
Tiempo: 9.037e-06
Tiempo: 9.037e-06
Tiempo: 9.051e-06
Tiempo: 9.036e-06
Tiempo: 9.033e-06
Tiempo: 9.048e-06
Tiempo: 9.037e-06
Tiempo: 9.037e-06
Tiempo: 9.049e-06
Tiempo: 9.036e-06
Tiempo: 9.036e-06
Tiempo: 9.051e-06
Tiempo: 9.036e-06
Tiempo: 9.034e-06
Tiempo: 9.052e-06
Tiempo: 9.037e-06
Tiempo: 9.039e-06
Tiempo: 9.048e-06
Tiempo: 9.039e-06
Tiempo: 9.033e-06
Tiempo: 9.049e-06
Tiempo: 9.037e-06
Tiempo: 9.037e-06
Tiempo: 9.048e-06
Tiempo: 9.036e-06
