Con estrategia
Tablero de 2x2 con 4 caballos preubicados
Tiempo: 7.016e-06
Tiempo: 3.669e-06
Tiempo: 3.117e-06
Tiempo: 3.002e-06
Tiempo: 2.981e-06
Tiempo: 2.972e-06
Tiempo: 2.99e-06
Tiempo: 2.975e-06
Tiempo: 2.981e-06
Tiempo: 2.969e-06
Tiempo: 2.972e-06
Tiempo: 2.969e-06
Tiempo: 2.978e-06
Tiempo: 2.969e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 3.005e-06
Tiempo: 2.96e-06
Tiempo: 2.984e-06
Tiempo: 2.96e-06
Tiempo: 2.975e-06
Tiempo: 2.954e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 2.984e-06
Tiempo: 3.002e-06
Tiempo: 2.972e-06
Tiempo: 2.969e-06
Tiempo: 2.978e-06
Tiempo: 2.966e-06
Tiempo: 2.984e-06
Tiempo: 2.993e-06
Tiempo: 2.969e-06
Tiempo: 2.966e-06
Tiempo: 2.975e-06
Tiempo: 2.99e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 2.981e-06
Tiempo: 2.996e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 2.984e-06
Tiempo: 2.96e-06
Tiempo: 2.972e-06
Tiempo: 2.957e-06
Tiempo: 3.002e-06
Tiempo: 2.966e-06
Tiempo: 2.975e-06
Tiempo: 2.957e-06
Tiempo: 2.984e-06
Tiempo: 2.957e-06
Tiempo: 2.969e-06
Tiempo: 2.966e-06
Tiempo: 2.976e-06
Tiempo: 2.99e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 3.014e-06
Tiempo: 2.954e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 2.984e-06
Tiempo: 2.99e-06
Tiempo: 2.972e-06
Tiempo: 2.96e-06
Tiempo: 2.972e-06
Tiempo: 2.957e-06
Tiempo: 2.972e-06
Tiempo: 2.966e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 2.981e-06
Tiempo: 2.999e-06
Tiempo: 2.984e-06
Tiempo: 2.963e-06
Tiempo: 2.972e-06
Tiempo: 2.969e-06
Tiempo: 2.978e-06
Tiempo: 2.966e-06
Tiempo: 2.987e-06
Tiempo: 2.987e-06
Tiempo: 2.978e-06
Tiempo: 2.957e-06
Tiempo: 2.972e-06
Tiempo: 2.969e-06
Tiempo: 2.975e-06
Tiempo: 2.996e-06
Tiempo: 2.975e-06
Tiempo: 2.954e-06
Tiempo: 2.984e-06
Tiempo: 2.96e-06
Tiempo: 2.975e-06
Tiempo: 2.957e-06
Tiempo: 2.978e-06
Tiempo: 2.96e-06
Tiempo: 2.975e-06
Tiempo: 2.954e-06
Tiempo: 3.017e-06
Tiempo: 2.957e-06
Tiempo: 2.972e-06
Tiempo: 2.963e-06
Tiempo: 2.978e-06
Tiempo: 2.969e-06
Tiempo: 2.978e-06
Tiempo: 2.969e-06
Tiempo: 2.975e-06
Tiempo: 2.999e-06
Tiempo: 2.975e-06
Tiempo: 2.954e-06
Tiempo: 2.984e-06
Tiempo: 2.96e-06
Tiempo: 2.972e-06
Tiempo: 2.957e-06
Tiempo: 2.972e-06
Tiempo: 2.972e-06
Tiempo: 2.978e-06
Tiempo: 2.963e-06
Tiempo: 2.978e-06
Tiempo: 2.972e-06
Tiempo: 2.981e-06
Tiempo: 2.963e-06
Tiempo: 2.984e-06
Tiempo: 2.963e-06
Tiempo: 2.975e-06
Tiempo: 2.966e-06
Tiempo: 2.978e-06
Tiempo: 2.966e-06
Tiempo: 2.982e-06
Tiempo: 2.997e-06
Tiempo: 2.985e-06
Tiempo: 2.96e-06
Tiempo: 2.987e-06
Tiempo: 2.963e-06
Tiempo: 2.981e-06
Tiempo: 2.97e-06
Tiempo: 2.981e-06
Tiempo: 2.966e-06
Tiempo: 2.988e-06
Tiempo: 2.969e-06
Tiempo: 2.969e-06
Tiempo: 2.966e-06
Tiempo: 2.975e-06
Tiempo: 2.954e-06
Tiempo: 3.017e-06
Tiempo: 2.96e-06
Tiempo: 2.975e-06
Tiempo: 4.605e-06
Tiempo: 3.134e-06
Tiempo: 3.068e-06
Tiempo: 3.023e-06
Tiempo: 3.017e-06
Tiempo: 3.053e-06
Tiempo: 3.023e-06
Tiempo: 3.035e-06
Tiempo: 3.023e-06
Tiempo: 3.029e-06
Tiempo: 3.026e-06
Tiempo: 3.032e-06
Tiempo: 3.032e-06
Tiempo: 3.035e-06
Tiempo: 3.035e-06
Tiempo: 3.053e-06
Tiempo: 3.029e-06
Tiempo: 3.041e-06
Tiempo: 3.023e-06
Tiempo: 3.026e-06
Tiempo: 3.053e-06
Tiempo: 3.033e-06
Tiempo: 3.027e-06
Tiempo: 3.036e-06
Tiempo: 3.029e-06
Tiempo: 3.029e-06
Tiempo: 3.026e-06
Tiempo: 3.026e-06
Tiempo: 3.062e-06
Tiempo: 3.032e-06
Tiempo: 3.035e-06
Tiempo: 3.041e-06
Tiempo: 3.032e-06
Tiempo: 3.023e-06
Tiempo: 3.035e-06
Tiempo: 3.053e-06
Tiempo: 3.542e-06
Tiempo: 3.068e-06
Tiempo: 3.041e-06
Tiempo: 2.993e-06
Tiempo: 3.083e-06
Tiempo: 3.05e-06
Tiempo: 3.053e-06
Tiempo: 3.074e-06
Tiempo: 3.062e-06
Tiempo: 3.038e-06
Tiempo: 3.053e-06
Tiempo: 3.047e-06
Tiempo: 3.053e-06
Tiempo: 3.05e-06
Tiempo: 3.056e-06
Tiempo: 3.041e-06
Tiempo: 3.05e-06
Tiempo: 3.035e-06
Tiempo: 3.08e-06
Tiempo: 3.047e-06
Tiempo: 3.053e-06
Tiempo: 3.047e-06
Tiempo: 3.089e-06
Tiempo: 3.05e-06
Tiempo: 3.053e-06
Tiempo: 3.041e-06
Tiempo: 3.062e-06
Tiempo: 3.041e-06
Tiempo: 3.05e-06
Tiempo: 3.038e-06
Tiempo: 3.053e-06
Tiempo: 3.452e-06
Tiempo: 3.095e-06
Tiempo: 3.068e-06
Tiempo: 3.071e-06
Tiempo: 3.065e-06
Tiempo: 3.071e-06
Tiempo: 3.062e-06
Tiempo: 3.074e-06
Tiempo: 3.059e-06
Tiempo: 3.065e-06
Tiempo: 3.065e-06
Tiempo: 3.066e-06
Tiempo: 3.317e-06
Tiempo: 3.131e-06
Tiempo: 3.102e-06
Tiempo: 3.072e-06
Tiempo: 3.075e-06
Tiempo: 3.071e-06
Tiempo: 3.065e-06
Tiempo: 3.068e-06
Tiempo: 3.068e-06
Tiempo: 3.065e-06
Tiempo: 3.077e-06
Tiempo: 3.068e-06
Tiempo: 3.068e-06
Tiempo: 3.065e-06
Tiempo: 3.074e-06
Tiempo: 3.077e-06
Tiempo: 3.071e-06
Tiempo: 3.071e-06
Tiempo: 1.7622e-05
Tiempo: 3.095e-06
Tiempo: 3.071e-06
Tiempo: 3.029e-06
Tiempo: 3.038e-06
Tiempo: 3.026e-06
Tiempo: 3.059e-06
Tiempo: 3.029e-06
Tiempo: 3.038e-06
Tiempo: 3.032e-06
Tiempo: 3.032e-06
Tiempo: 3.032e-06
Tiempo: 3.036e-06
Tiempo: 3.032e-06
Tiempo: 3.032e-06
Tiempo: 3.032e-06
Tiempo: 3.035e-06
Tiempo: 3.026e-06
