Con poda
Tablero de 4x4 con 4 caballos preubicados
Tiempo: 9.174e-06
Tiempo: 6.803e-06
Tiempo: 5.956e-06
Tiempo: 5.626e-06
Tiempo: 5.587e-06
Tiempo: 5.566e-06
Tiempo: 5.515e-06
Tiempo: 5.53e-06
Tiempo: 5.587e-06
Tiempo: 5.614e-06
Tiempo: 5.554e-06
Tiempo: 5.65e-06
Tiempo: 5.704e-06
Tiempo: 5.593e-06
Tiempo: 5.536e-06
Tiempo: 5.512e-06
Tiempo: 5.539e-06
Tiempo: 5.548e-06
Tiempo: 5.53e-06
Tiempo: 5.596e-06
Tiempo: 5.59e-06
Tiempo: 5.56e-06
Tiempo: 5.563e-06
Tiempo: 5.563e-06
Tiempo: 5.539e-06
Tiempo: 5.653e-06
Tiempo: 5.669e-06
Tiempo: 5.668e-06
Tiempo: 5.653e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.647e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.65e-06
Tiempo: 5.686e-06
Tiempo: 5.569e-06
Tiempo: 5.518e-06
Tiempo: 5.506e-06
Tiempo: 5.518e-06
Tiempo: 5.509e-06
Tiempo: 5.548e-06
Tiempo: 5.521e-06
Tiempo: 5.524e-06
Tiempo: 5.515e-06
Tiempo: 5.521e-06
Tiempo: 5.521e-06
Tiempo: 5.518e-06
Tiempo: 5.527e-06
Tiempo: 5.53e-06
Tiempo: 5.512e-06
Tiempo: 5.539e-06
Tiempo: 5.521e-06
Tiempo: 5.527e-06
Tiempo: 5.512e-06
Tiempo: 5.539e-06
Tiempo: 5.521e-06
Tiempo: 5.512e-06
Tiempo: 5.524e-06
Tiempo: 5.524e-06
Tiempo: 5.512e-06
Tiempo: 5.526e-06
Tiempo: 5.527e-06
Tiempo: 5.515e-06
Tiempo: 5.521e-06
Tiempo: 5.521e-06
Tiempo: 5.509e-06
Tiempo: 5.536e-06
Tiempo: 5.524e-06
Tiempo: 5.521e-06
Tiempo: 5.512e-06
Tiempo: 5.53e-06
Tiempo: 5.566e-06
Tiempo: 5.554e-06
Tiempo: 5.536e-06
Tiempo: 5.629e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.647e-06
Tiempo: 5.65e-06
Tiempo: 5.686e-06
Tiempo: 5.56e-06
Tiempo: 5.542e-06
Tiempo: 5.539e-06
Tiempo: 5.524e-06
Tiempo: 5.626e-06
Tiempo: 5.647e-06
Tiempo: 5.638e-06
Tiempo: 5.644e-06
Tiempo: 5.647e-06
Tiempo: 5.644e-06
Tiempo: 5.644e-06
Tiempo: 5.65e-06
Tiempo: 5.689e-06
Tiempo: 5.563e-06
Tiempo: 5.518e-06
Tiempo: 5.5e-06
Tiempo: 5.575e-06
Tiempo: 5.608e-06
Tiempo: 5.569e-06
Tiempo: 5.506e-06
Tiempo: 3.511e-05
Tiempo: 5.668e-06
Tiempo: 1.5572e-05
Tiempo: 5.767e-06
Tiempo: 5.608e-06
Tiempo: 5.497e-06
Tiempo: 5.448e-06
Tiempo: 5.452e-06
Tiempo: 5.434e-06
Tiempo: 5.475e-06
Tiempo: 5.467e-06
Tiempo: 5.434e-06
Tiempo: 5.445e-06
Tiempo: 5.461e-06
Tiempo: 5.452e-06
Tiempo: 5.442e-06
Tiempo: 5.47e-06
Tiempo: 5.494e-06
Tiempo: 5.515e-06
Tiempo: 5.458e-06
Tiempo: 5.572e-06
Tiempo: 5.59e-06
Tiempo: 5.608e-06
Tiempo: 5.56e-06
Tiempo: 5.533e-06
Tiempo: 5.56e-06
Tiempo: 5.5e-06
Tiempo: 5.548e-06
Tiempo: 5.518e-06
Tiempo: 5.467e-06
Tiempo: 5.415e-06
Tiempo: 5.464e-06
Tiempo: 5.551e-06
Tiempo: 5.494e-06
Tiempo: 5.437e-06
Tiempo: 5.461e-06
Tiempo: 5.461e-06
Tiempo: 5.467e-06
Tiempo: 5.434e-06
Tiempo: 5.449e-06
Tiempo: 5.473e-06
Tiempo: 5.461e-06
Tiempo: 5.442e-06
Tiempo: 5.461e-06
Tiempo: 5.458e-06
Tiempo: 5.46e-06
Tiempo: 5.5e-06
Tiempo: 5.485e-06
