Con todo
Tablero de 2x2 con 0 caballos preubicados
Tiempo: 1.4557e-05
Tiempo: 1.1021e-05
Tiempo: 1.0609e-05
Tiempo: 1.0192e-05
Tiempo: 1.0441e-05
Tiempo: 1.0147e-05
Tiempo: 1.0435e-05
Tiempo: 1.0165e-05
Tiempo: 1.0435e-05
Tiempo: 1.0168e-05
Tiempo: 1.0465e-05
Tiempo: 1.0199e-05
Tiempo: 1.045e-05
Tiempo: 1.0172e-05
Tiempo: 1.0456e-05
Tiempo: 1.0202e-05
Tiempo: 1.0453e-05
Tiempo: 1.0175e-05
Tiempo: 1.0441e-05
Tiempo: 1.0144e-05
Tiempo: 1.0444e-05
Tiempo: 1.0147e-05
Tiempo: 1.0448e-05
Tiempo: 1.015e-05
Tiempo: 1.0448e-05
Tiempo: 1.0153e-05
Tiempo: 1.0466e-05
Tiempo: 1.021e-05
Tiempo: 1.0499e-05
Tiempo: 1.0168e-05
Tiempo: 1.0463e-05
Tiempo: 1.0198e-05
Tiempo: 1.0463e-05
Tiempo: 1.0168e-05
Tiempo: 1.0441e-05
Tiempo: 1.0153e-05
Tiempo: 1.0429e-05
Tiempo: 1.0166e-05
Tiempo: 1.0432e-05
Tiempo: 1.0163e-05
Tiempo: 1.0441e-05
Tiempo: 1.0159e-05
Tiempo: 1.0435e-05
Tiempo: 1.0159e-05
Tiempo: 1.0433e-05
Tiempo: 1.0156e-05
Tiempo: 1.0436e-05
Tiempo: 1.0153e-05
Tiempo: 1.043e-05
Tiempo: 1.0156e-05
Tiempo: 1.0426e-05
Tiempo: 1.0159e-05
Tiempo: 1.0441e-05
Tiempo: 1.0157e-05
Tiempo: 1.0441e-05
Tiempo: 1.015e-05
Tiempo: 1.0471e-05
Tiempo: 1.0192e-05
Tiempo: 1.0456e-05
Tiempo: 1.0162e-05
Tiempo: 1.0436e-05
Tiempo: 1.0153e-05
Tiempo: 1.0442e-05
Tiempo: 1.0156e-05
Tiempo: 1.0433e-05
Tiempo: 1.0156e-05
Tiempo: 1.0432e-05
Tiempo: 1.0159e-05
Tiempo: 1.0435e-05
Tiempo: 1.0163e-05
Tiempo: 1.0441e-05
Tiempo: 1.016e-05
Tiempo: 1.0444e-05
Tiempo: 1.0162e-05
Tiempo: 1.0432e-05
Tiempo: 1.015e-05
Tiempo: 1.0445e-05
Tiempo: 1.0162e-05
Tiempo: 1.0442e-05
Tiempo: 1.0162e-05
Tiempo: 1.0439e-05
Tiempo: 1.0174e-05
Tiempo: 1.0457e-05
Tiempo: 1.0168e-05
Tiempo: 1.0453e-05
Tiempo: 1.0171e-05
Tiempo: 1.048e-05
Tiempo: 1.0204e-05
Tiempo: 1.0435e-05
Tiempo: 1.0165e-05
Tiempo: 1.0474e-05
Tiempo: 1.0211e-05
Tiempo: 1.0501e-05
Tiempo: 1.0231e-05
Tiempo: 1.051e-05
Tiempo: 1.0264e-05
Tiempo: 1.0457e-05
Tiempo: 1.0177e-05
Tiempo: 1.0481e-05
Tiempo: 1.0198e-05
Tiempo: 1.0462e-05
Tiempo: 1.0174e-05
Tiempo: 1.0483e-05
Tiempo: 1.021e-05
Tiempo: 1.0507e-05
Tiempo: 1.0177e-05
Tiempo: 1.0471e-05
Tiempo: 1.0204e-05
Tiempo: 1.0468e-05
Tiempo: 1.0216e-05
Tiempo: 1.0468e-05
Tiempo: 1.0201e-05
Tiempo: 1.0456e-05
Tiempo: 1.0189e-05
Tiempo: 1.0471e-05
Tiempo: 1.0192e-05
Tiempo: 1.0468e-05
Tiempo: 1.0162e-05
Tiempo: 1.0459e-05
Tiempo: 1.0217e-05
Tiempo: 1.0453e-05
Tiempo: 1.0178e-05
Tiempo: 1.0474e-05
Tiempo: 1.0199e-05
Tiempo: 1.0456e-05
Tiempo: 1.0187e-05
Tiempo: 1.048e-05
Tiempo: 1.0211e-05
Tiempo: 1.0504e-05
Tiempo: 1.018e-05
Tiempo: 1.0483e-05
Tiempo: 1.0205e-05
Tiempo: 1.0462e-05
Tiempo: 4.0874e-05
Tiempo: 1.218e-05
Tiempo: 1.0418e-05
Tiempo: 1.0559e-05
Tiempo: 1.0261e-05
Tiempo: 1.058e-05
Tiempo: 1.0294e-05
Tiempo: 1.0567e-05
Tiempo: 1.0343e-05
Tiempo: 1.0467e-05
Tiempo: 6.629e-06
Tiempo: 6.811e-06
Tiempo: 6.623e-06
Tiempo: 6.77e-06
Tiempo: 6.623e-06
Tiempo: 6.785e-06
Tiempo: 6.588e-06
Tiempo: 6.775e-06
Tiempo: 6.594e-06
Tiempo: 6.757e-06
Tiempo: 6.591e-06
Tiempo: 6.789e-06
Tiempo: 6.602e-06
Tiempo: 6.766e-06
Tiempo: 6.618e-06
Tiempo: 6.794e-06
Tiempo: 6.649e-06
Tiempo: 6.787e-06
Tiempo: 6.582e-06
Tiempo: 6.779e-06
Tiempo: 6.596e-06
Tiempo: 6.717e-06
Tiempo: 6.595e-06
Tiempo: 6.784e-06
Tiempo: 6.599e-06
Tiempo: 6.768e-06
Tiempo: 6.595e-06
Tiempo: 6.736e-06
Tiempo: 6.629e-06
Tiempo: 6.783e-06
Tiempo: 6.58e-06
Tiempo: 6.769e-06
Tiempo: 6.598e-06
Tiempo: 6.713e-06
Tiempo: 6.591e-06
Tiempo: 6.787e-06
Tiempo: 6.599e-06
Tiempo: 6.768e-06
Tiempo: 6.59e-06
Tiempo: 6.774e-06
Tiempo: 6.623e-06
Tiempo: 6.785e-06
Tiempo: 6.582e-06
Tiempo: 6.77e-06
Tiempo: 6.62e-06
Tiempo: 6.764e-06
Tiempo: 6.605e-06
Tiempo: 6.798e-06
Tiempo: 6.596e-06
Tiempo: 6.798e-06
Tiempo: 6.612e-06
Tiempo: 6.715e-06
Tiempo: 6.584e-06
Tiempo: 6.789e-06
Tiempo: 6.602e-06
Tiempo: 6.769e-06
Tiempo: 6.599e-06
Tiempo: 6.771e-06
Tiempo: 6.646e-06
Tiempo: 6.809e-06
Tiempo: 6.586e-06
Tiempo: 6.736e-06
Tiempo: 6.594e-06
Tiempo: 6.755e-06
Tiempo: 6.59e-06
Tiempo: 6.785e-06
Tiempo: 6.601e-06
Tiempo: 6.77e-06
Tiempo: 6.616e-06
Tiempo: 6.796e-06
Tiempo: 6.65e-06
Tiempo: 6.805e-06
Tiempo: 6.608e-06
Tiempo: 6.798e-06
Tiempo: 6.648e-06
Tiempo: 6.791e-06
Tiempo: 6.799e-06
Tiempo: 6.806e-06
Tiempo: 6.638e-06
Tiempo: 6.79e-06
Tiempo: 6.606e-06
Tiempo: 6.762e-06
Tiempo: 6.61e-06
Tiempo: 6.786e-06
Tiempo: 6.62e-06
Tiempo: 6.747e-06
Tiempo: 6.588e-06
Tiempo: 6.73e-06
Tiempo: 6.583e-06
Tiempo: 6.756e-06
Tiempo: 6.565e-06
Tiempo: 6.75e-06
Tiempo: 6.624e-06
Tiempo: 6.749e-06
Tiempo: 6.592e-06
Tiempo: 6.753e-06
Tiempo: 6.56e-06
Tiempo: 6.76e-06
Tiempo: 6.582e-06
Tiempo: 6.736e-06
Tiempo: 6.579e-06
Tiempo: 6.755e-06
Tiempo: 6.578e-06
Tiempo: 6.76e-06
Tiempo: 6.612e-06
Tiempo: 6.728e-06
Tiempo: 6.586e-06
Tiempo: 6.744e-06
Tiempo: 6.554e-06
Tiempo: 6.753e-06
Tiempo: 6.605e-06
Tiempo: 6.762e-06
Tiempo: 6.621e-06
Tiempo: 6.715e-06
Tiempo: 6.563e-06
Tiempo: 6.755e-06
Tiempo: 6.586e-06
Tiempo: 6.761e-06
Tiempo: 6.605e-06
Tiempo: 6.753e-06
Tiempo: 6.584e-06
Tiempo: 6.757e-06
Tiempo: 6.586e-06
Tiempo: 6.753e-06
Tiempo: 6.607e-06
Tiempo: 6.768e-06
Tiempo: 6.562e-06
Tiempo: 6.744e-06
Tiempo: 6.584e-06
Tiempo: 6.743e-06
Tiempo: 6.588e-06
Tiempo: 6.761e-06
Tiempo: 6.588e-06
