Con estrategia
Tablero de 1x1 con 0 caballos preubicados
Tiempo: 4.876e-06
Tiempo: 2.611e-06
Tiempo: 2.147e-06
Tiempo: 2.021e-06
Tiempo: 1.993e-06
Tiempo: 2.011e-06
Tiempo: 2.002e-06
Tiempo: 1.988e-06
Tiempo: 2e-06
Tiempo: 2.011e-06
Tiempo: 2.026e-06
Tiempo: 2.003e-06
Tiempo: 2.006e-06
Tiempo: 1.988e-06
Tiempo: 2.005e-06
Tiempo: 1.996e-06
Tiempo: 1.999e-06
Tiempo: 1.987e-06
Tiempo: 2.003e-06
Tiempo: 1.997e-06
Tiempo: 2e-06
Tiempo: 2.011e-06
Tiempo: 2.008e-06
Tiempo: 1.987e-06
Tiempo: 2.003e-06
Tiempo: 2.027e-06
Tiempo: 2.014e-06
Tiempo: 1.99e-06
Tiempo: 1.993e-06
Tiempo: 2.011e-06
Tiempo: 2.015e-06
Tiempo: 1.988e-06
Tiempo: 2.003e-06
Tiempo: 1.997e-06
Tiempo: 2.002e-06
Tiempo: 1.99e-06
Tiempo: 1.996e-06
Tiempo: 2.002e-06
Tiempo: 2.006e-06
Tiempo: 2.006e-06
Tiempo: 2.003e-06
Tiempo: 2e-06
Tiempo: 1.993e-06
Tiempo: 1.99e-06
Tiempo: 2.002e-06
Tiempo: 1.997e-06
Tiempo: 1.997e-06
Tiempo: 1.988e-06
Tiempo: 2.006e-06
Tiempo: 1.999e-06
Tiempo: 1.993e-06
Tiempo: 1.993e-06
Tiempo: 2.002e-06
Tiempo: 1.999e-06
Tiempo: 1.991e-06
Tiempo: 1.988e-06
Tiempo: 2.003e-06
Tiempo: 2e-06
Tiempo: 2.026e-06
Tiempo: 1.999e-06
Tiempo: 2.003e-06
Tiempo: 1.991e-06
Tiempo: 2e-06
Tiempo: 1.994e-06
Tiempo: 1.996e-06
Tiempo: 1.999e-06
Tiempo: 1.999e-06
Tiempo: 1.993e-06
Tiempo: 2.011e-06
Tiempo: 2.005e-06
Tiempo: 2.006e-06
Tiempo: 1.994e-06
Tiempo: 2.006e-06
Tiempo: 2.006e-06
Tiempo: 2e-06
Tiempo: 2.02e-06
Tiempo: 1.996e-06
Tiempo: 1.99e-06
Tiempo: 1.991e-06
Tiempo: 2.003e-06
Tiempo: 2e-06
Tiempo: 2.02e-06
Tiempo: 2.002e-06
Tiempo: 1.996e-06
Tiempo: 1.99e-06
Tiempo: 1.991e-06
Tiempo: 2.003e-06
Tiempo: 2e-06
Tiempo: 2.002e-06
Tiempo: 1.999e-06
Tiempo: 1.99e-06
Tiempo: 1.993e-06
Tiempo: 2.003e-06
Tiempo: 2.003e-06
Tiempo: 2.003e-06
Tiempo: 1.994e-06
Tiempo: 2.006e-06
Tiempo: 1.999e-06
Tiempo: 2.002e-06
Tiempo: 1.993e-06
Tiempo: 1.999e-06
Tiempo: 2.003e-06
Tiempo: 2.003e-06
Tiempo: 1.988e-06
Tiempo: 2.003e-06
Tiempo: 2.003e-06
Tiempo: 2.003e-06
Tiempo: 1.987e-06
Tiempo: 2.002e-06
Tiempo: 2.002e-06
Tiempo: 2.002e-06
Tiempo: 1.99e-06
Tiempo: 1.994e-06
Tiempo: 2e-06
Tiempo: 2.015e-06
Tiempo: 1.996e-06
Tiempo: 2.005e-06
Tiempo: 1.996e-06
Tiempo: 1.99e-06
Tiempo: 2e-06
Tiempo: 2.012e-06
Tiempo: 2.009e-06
Tiempo: 2.005e-06
Tiempo: 2.008e-06
Tiempo: 1.993e-06
Tiempo: 2.008e-06
Tiempo: 2.003e-06
Tiempo: 2e-06
Tiempo: 2.024e-06
Tiempo: 1.996e-06
Tiempo: 1.99e-06
Tiempo: 1.99e-06
Tiempo: 2.002e-06
Tiempo: 1.997e-06
Tiempo: 2.003e-06
Tiempo: 1.991e-06
Tiempo: 2.003e-06
Tiempo: 1.999e-06
Tiempo: 2.005e-06
Tiempo: 1.99e-06
Tiempo: 1.99e-06
Tiempo: 1.999e-06
Tiempo: 2e-06
Tiempo: 2.006e-06
Tiempo: 2.011e-06
Tiempo: 2.008e-06
Tiempo: 1.99e-06
Tiempo: 1.987e-06
Tiempo: 2e-06
Tiempo: 2.009e-06
Tiempo: 2e-06
Tiempo: 2.008e-06
Tiempo: 2.002e-06
Tiempo: 2.002e-06
Tiempo: 1.99e-06
Tiempo: 1.988e-06
Tiempo: 2.015e-06
Tiempo: 1.997e-06
Tiempo: 2.002e-06
Tiempo: 1.993e-06
Tiempo: 1.999e-06
Tiempo: 2.002e-06
Tiempo: 2.003e-06
Tiempo: 1.988e-06
Tiempo: 2.006e-06
Tiempo: 2e-06
Tiempo: 2.008e-06
Tiempo: 2.002e-06
Tiempo: 2.002e-06
Tiempo: 1.99e-06
Tiempo: 1.991e-06
Tiempo: 1.997e-06
Tiempo: 2.003e-06
Tiempo: 1.988e-06
Tiempo: 2.002e-06
Tiempo: 1.999e-06
Tiempo: 2.014e-06
Tiempo: 1.99e-06
Tiempo: 1.991e-06
Tiempo: 2e-06
Tiempo: 2.012e-06
Tiempo: 1.997e-06
Tiempo: 2.002e-06
Tiempo: 1.999e-06
Tiempo: 1.993e-06
Tiempo: 1.999e-06
Tiempo: 2e-06
Tiempo: 2.006e-06
Tiempo: 2.009e-06
Tiempo: 1.996e-06
Tiempo: 1.99e-06
Tiempo: 1.99e-06
