Con poda
Tablero de 3x3 con 0 caballos preubicados
Tiempo: 9.1877e-05
Tiempo: 8.9923e-05
Tiempo: 8.8932e-05
Tiempo: 8.8968e-05
Tiempo: 8.8956e-05
Tiempo: 8.8956e-05
Tiempo: 8.8822e-05
Tiempo: 8.8848e-05
Tiempo: 8.886e-05
Tiempo: 8.8944e-05
Tiempo: 8.8912e-05
Tiempo: 8.8827e-05
Tiempo: 8.8875e-05
Tiempo: 8.8968e-05
Tiempo: 8.892e-05
Tiempo: 8.8951e-05
Tiempo: 8.8902e-05
Tiempo: 8.8812e-05
Tiempo: 8.8887e-05
Tiempo: 8.8966e-05
Tiempo: 8.8899e-05
Tiempo: 8.8944e-05
Tiempo: 8.8902e-05
Tiempo: 8.8816e-05
Tiempo: 8.8839e-05
Tiempo: 0.000194079
Tiempo: 8.9499e-05
Tiempo: 8.9086e-05
Tiempo: 8.8945e-05
Tiempo: 8.8962e-05
Tiempo: 8.8911e-05
Tiempo: 8.8791e-05
Tiempo: 8.8863e-05
Tiempo: 8.8842e-05
Tiempo: 8.8884e-05
Tiempo: 8.8941e-05
Tiempo: 8.8873e-05
Tiempo: 8.8899e-05
Tiempo: 8.8887e-05
Tiempo: 8.8831e-05
Tiempo: 8.8866e-05
Tiempo: 8.8815e-05
Tiempo: 8.8857e-05
Tiempo: 8.8791e-05
Tiempo: 8.8902e-05
Tiempo: 8.8926e-05
Tiempo: 8.8824e-05
Tiempo: 8.8827e-05
Tiempo: 8.8842e-05
Tiempo: 8.8929e-05
Tiempo: 8.8896e-05
Tiempo: 8.8953e-05
Tiempo: 8.8833e-05
Tiempo: 8.8923e-05
Tiempo: 8.8935e-05
Tiempo: 8.8797e-05
Tiempo: 8.8893e-05
Tiempo: 8.8969e-05
Tiempo: 8.8869e-05
Tiempo: 8.8836e-05
Tiempo: 8.8914e-05
Tiempo: 8.8893e-05
Tiempo: 8.8899e-05
Tiempo: 8.8833e-05
Tiempo: 0.000100115
Tiempo: 9.0184e-05
Tiempo: 8.8872e-05
Tiempo: 8.8821e-05
Tiempo: 8.8842e-05
Tiempo: 8.8812e-05
Tiempo: 8.8839e-05
