20000 ciudades aleatorias
Presupuesto Alto
Tiempo: 0.00800934
Tiempo: 0.00692452
Tiempo: 0.00700892
Tiempo: 0.00691705
Tiempo: 0.0101382
Tiempo: 0.0100585
Tiempo: 0.0100987
Tiempo: 0.010125
Tiempo: 0.0101373
Tiempo: 0.00963591
Tiempo: 0.00694445
Tiempo: 0.00702656
Tiempo: 0.00689959
Tiempo: 0.0069492
Tiempo: 0.00692736
Tiempo: 0.00691702
Tiempo: 0.00703672
Tiempo: 0.00690663
Tiempo: 0.00698806
Tiempo: 0.00689061
Tiempo: 0.00689275
Tiempo: 0.00687153
Tiempo: 0.00688472
Tiempo: 0.00694041
Tiempo: 0.00686933
Tiempo: 0.00685109
Tiempo: 0.00687933
Tiempo: 0.00687312
Tiempo: 0.00685895
Tiempo: 0.00688993
Tiempo: 0.00689779
Tiempo: 0.00688754
Tiempo: 0.00687536
Tiempo: 0.00687363
Tiempo: 0.00687176
Tiempo: 0.00695382
Tiempo: 0.00688572
Tiempo: 0.00686671
Tiempo: 0.00684883
Tiempo: 0.00695411
Tiempo: 0.00688631
Tiempo: 0.00686991
Tiempo: 0.0068823
Tiempo: 0.00692977
Tiempo: 0.00686301
Tiempo: 0.00687794
Tiempo: 0.00689299
Tiempo: 0.00695932
Tiempo: 0.00685997
Tiempo: 0.00688263
Tiempo: 0.00690561
Tiempo: 0.00688153
Tiempo: 0.0068634
Tiempo: 0.00689222
Tiempo: 0.00689274
Tiempo: 0.00695685
Tiempo: 0.00694665
Tiempo: 0.00688597
Tiempo: 0.00688752
Tiempo: 0.00697364
Tiempo: 0.00688827
Tiempo: 0.00689664
Tiempo: 0.00693451
Tiempo: 0.00694677
Tiempo: 0.00741448
Tiempo: 0.00695779
Tiempo: 0.0069125
Tiempo: 0.00693512
Tiempo: 0.00692355
Tiempo: 0.00689549
Tiempo: 0.00687125
Tiempo: 0.0069588
Tiempo: 0.00696803
Tiempo: 0.00696853
Tiempo: 0.00736653
Tiempo: 0.00716186
Tiempo: 0.00703456
Tiempo: 0.00708854
Tiempo: 0.00731041
Tiempo: 0.00726281
Tiempo: 0.00720594
Tiempo: 0.00739385
Tiempo: 0.00730568
Tiempo: 0.00719742
Tiempo: 0.00714233
Tiempo: 0.00694813
Tiempo: 0.00691295
Tiempo: 0.00695214
Tiempo: 0.00709603
Tiempo: 0.00689972
Tiempo: 0.00693833
Tiempo: 0.00716318
Tiempo: 0.00704015
Tiempo: 0.00724784
Tiempo: 0.00726527
Tiempo: 0.00706933
Tiempo: 0.00727884
Tiempo: 0.0072398
Tiempo: 0.00718686
Tiempo: 0.0070747
Tiempo: 0.00722561
Tiempo: 0.00707994
Tiempo: 0.00725535
Tiempo: 0.00702122
Tiempo: 0.00726776
Tiempo: 0.00720333
Tiempo: 0.00719491
Tiempo: 0.00720382
Tiempo: 0.00719627
Tiempo: 0.00690431
Tiempo: 0.00688809
Tiempo: 0.00695321
Tiempo: 0.00690002
Tiempo: 0.00692312
Tiempo: 0.0068859
Tiempo: 0.00693477
Tiempo: 0.00697464
Tiempo: 0.00696098
Tiempo: 0.00688795
Tiempo: 0.00698727
Tiempo: 0.0069585
Tiempo: 0.00700162
Tiempo: 0.00695486
Tiempo: 0.0099058
Tiempo: 0.00924913
Tiempo: 0.0069729
Tiempo: 0.0070898
Tiempo: 0.00690625
Tiempo: 0.00692835
Tiempo: 0.00716518
Tiempo: 0.00694055
Tiempo: 0.0072155
Tiempo: 0.00703269
Tiempo: 0.00721248
Tiempo: 0.00702248
Tiempo: 0.00975638
Tiempo: 0.00707323
Tiempo: 0.00694806
Tiempo: 0.00700505
Tiempo: 0.00698832
Tiempo: 0.00688363
Tiempo: 0.00693695
Tiempo: 0.00688314
Tiempo: 0.00694271
Tiempo: 0.00697068
Tiempo: 0.00700119
Tiempo: 0.00692708
Tiempo: 0.00691708
Tiempo: 0.0069133
Tiempo: 0.00691368
Tiempo: 0.00702561
Tiempo: 0.00696292
Tiempo: 0.00696869
Tiempo: 0.00687556
Tiempo: 0.00684232
Tiempo: 0.00692768
Tiempo: 0.00689933
Tiempo: 0.00689366
Tiempo: 0.00686919
Tiempo: 0.00691673
Tiempo: 0.00685513
Tiempo: 0.00685223
Tiempo: 0.0070277
Tiempo: 0.0069255
Tiempo: 0.00690661
Tiempo: 0.00688222
Tiempo: 0.00689631
Tiempo: 0.00690878
Tiempo: 0.00687311
Tiempo: 0.00688602
Tiempo: 0.00686951
Tiempo: 0.00689362
Tiempo: 0.00687912
Tiempo: 0.00692142
Tiempo: 0.00696698
Tiempo: 0.00688227
Tiempo: 0.00688675
Tiempo: 0.00689909
Tiempo: 0.00685313
Tiempo: 0.00691268
Tiempo: 0.00685037
Tiempo: 0.00689117
Tiempo: 0.0068735
Tiempo: 0.00687905
Tiempo: 0.00688745
Tiempo: 0.00688111
Tiempo: 0.00700632
Tiempo: 0.00699472
Tiempo: 0.00698252
Tiempo: 0.00690415
Tiempo: 0.00688077
Tiempo: 0.00692746
Tiempo: 0.00684662
Tiempo: 0.00688451
Tiempo: 0.00707261
Tiempo: 0.00695718
Tiempo: 0.00690874
Tiempo: 0.00693664
Tiempo: 0.00704952
Tiempo: 0.00685556
Tiempo: 0.00694026
Tiempo: 0.00687562
Tiempo: 0.00685749
Tiempo: 0.0069136
Tiempo: 0.00695296
Tiempo: 0.00698843
Tiempo: 0.00724966
Tiempo: 0.00719882
Tiempo: 0.00701067
Tiempo: 0.00700721
Tiempo: 0.0070662
Tiempo: 0.0069699
Tiempo: 0.00728827
Tiempo: 0.00721347
Tiempo: 0.00726779
Tiempo: 0.00709956
Tiempo: 0.00722586
Tiempo: 0.00711965
Tiempo: 0.00727545
Tiempo: 0.00714144
Tiempo: 0.00689404
Tiempo: 0.0069435
Tiempo: 0.00697972
Tiempo: 0.00718552
Tiempo: 0.00698478
Tiempo: 0.00696678
Tiempo: 0.00730196
Tiempo: 0.00723664
Tiempo: 0.0071513
Tiempo: 0.00721081
Tiempo: 0.00718862
Tiempo: 0.00720102
Tiempo: 0.00732529
Tiempo: 0.0072082
Tiempo: 0.0072574
