100000 ciudades aleatorias
Presupuesto bajo
Tiempo: 0.0450904
Tiempo: 0.0386707
Tiempo: 0.038722
Tiempo: 0.0428291
Tiempo: 0.0386701
Tiempo: 0.0386849
Tiempo: 0.0387683
Tiempo: 0.0386528
Tiempo: 0.0385914
Tiempo: 0.0386894
Tiempo: 0.0388965
Tiempo: 0.0387908
Tiempo: 0.0386827
Tiempo: 0.0387127
Tiempo: 0.0387129
Tiempo: 0.0387148
Tiempo: 0.0387276
Tiempo: 0.0387268
Tiempo: 0.0388371
Tiempo: 0.0388791
Tiempo: 0.0452132
Tiempo: 0.0593457
Tiempo: 0.0449036
Tiempo: 0.0393291
Tiempo: 0.0387577
Tiempo: 0.0386539
Tiempo: 0.0386425
Tiempo: 0.0386135
Tiempo: 0.0386031
Tiempo: 0.0385829
Tiempo: 0.0385406
Tiempo: 0.0385842
Tiempo: 0.0385324
Tiempo: 0.0385392
Tiempo: 0.0385906
Tiempo: 0.0387634
Tiempo: 0.0386256
Tiempo: 0.0386027
Tiempo: 0.0385738
Tiempo: 0.0385111
Tiempo: 0.0386158
Tiempo: 0.038593
Tiempo: 0.0385887
Tiempo: 0.0385163
Tiempo: 0.0385889
Tiempo: 0.0385363
Tiempo: 0.0387037
Tiempo: 0.0385447
Tiempo: 0.0386071
Tiempo: 0.0385965
Tiempo: 0.0385748
Tiempo: 0.0385375
Tiempo: 0.0385223
Tiempo: 0.0385798
Tiempo: 0.0386062
Tiempo: 0.0385728
Tiempo: 0.0385894
Tiempo: 0.0386248
Tiempo: 0.0385744
Tiempo: 0.0385721
Tiempo: 0.0386913
Tiempo: 0.0385539
Tiempo: 0.0386086
Tiempo: 0.0386066
Tiempo: 0.0386311
Tiempo: 0.0386062
Tiempo: 0.0385907
Tiempo: 0.0386469
Tiempo: 0.0385152
Tiempo: 0.0385629
Tiempo: 0.0386519
Tiempo: 0.0385831
Tiempo: 0.0385753
Tiempo: 0.0387022
Tiempo: 0.0385867
Tiempo: 0.0385708
Tiempo: 0.0385937
Tiempo: 0.038584
Tiempo: 0.0386333
Tiempo: 0.0385989
Tiempo: 0.038588
Tiempo: 0.0385
Tiempo: 0.0385641
Tiempo: 0.0385246
Tiempo: 0.0385786
Tiempo: 0.038613
Tiempo: 0.0386622
Tiempo: 0.0385932
Tiempo: 0.0386092
Tiempo: 0.0385953
Tiempo: 0.0385921
Tiempo: 0.0386329
Tiempo: 0.0385585
Tiempo: 0.0385536
Tiempo: 0.03864
Tiempo: 0.0385792
Tiempo: 0.0385482
Tiempo: 0.038582
Tiempo: 0.0385863
Tiempo: 0.0387116
Tiempo: 0.0386416
Tiempo: 0.0386335
Tiempo: 0.0385696
Tiempo: 0.0386473
Tiempo: 0.0386288
Tiempo: 0.0385723
Tiempo: 0.0385739
Tiempo: 0.0385799
Tiempo: 0.0385956
Tiempo: 0.0385912
Tiempo: 0.0385358
Tiempo: 0.038653
Tiempo: 0.0386705
Tiempo: 0.0385228
Tiempo: 0.038558
Tiempo: 0.0385557
Tiempo: 0.0386137
Tiempo: 0.0386421
Tiempo: 0.0386092
Tiempo: 0.0384933
Tiempo: 0.0386138
Tiempo: 0.0386444
Tiempo: 0.0385697
Tiempo: 0.0385984
Tiempo: 0.0386314
Tiempo: 0.0385883
Tiempo: 0.0385349
Tiempo: 0.0385599
Tiempo: 0.0385499
Tiempo: 0.0386345
Tiempo: 0.0385994
Tiempo: 0.0386151
Tiempo: 0.0385498
Tiempo: 0.0385687
Tiempo: 0.038719
Tiempo: 0.0386271
Tiempo: 0.0387073
Tiempo: 0.0387666
Tiempo: 0.0386946
Tiempo: 0.0386408
Tiempo: 0.0386803
Tiempo: 0.0386706
Tiempo: 0.0387014
Tiempo: 0.0386393
Tiempo: 0.0386999
Tiempo: 0.0387302
Tiempo: 0.0387289
Tiempo: 0.0386427
Tiempo: 0.0386808
Tiempo: 0.0386952
Tiempo: 0.0388476
Tiempo: 0.0387079
Tiempo: 0.0384771
Tiempo: 0.0385711
Tiempo: 0.0385658
Tiempo: 0.0385735
Tiempo: 0.0384857
Tiempo: 0.0385861
Tiempo: 0.0385348
Tiempo: 0.0386078
Tiempo: 0.0385648
Tiempo: 0.038592
Tiempo: 0.0385973
Tiempo: 0.0386004
Tiempo: 0.0385295
Tiempo: 0.0385668
Tiempo: 0.0385552
Tiempo: 0.0385884
Tiempo: 0.0385575
Tiempo: 0.0385737
Tiempo: 0.0385191
Tiempo: 0.0386058
Tiempo: 0.038619
Tiempo: 0.0386087
Tiempo: 0.0385625
Tiempo: 0.0386115
Tiempo: 0.038654
Tiempo: 0.038669
Tiempo: 0.0386812
Tiempo: 0.0386272
Tiempo: 0.0386799
Tiempo: 0.0387209
Tiempo: 0.0386409
Tiempo: 0.0386249
Tiempo: 0.038658
Tiempo: 0.0386455
Tiempo: 0.0387376
Tiempo: 0.0387436
Tiempo: 0.038692
Tiempo: 0.0386279
Tiempo: 0.0386082
Tiempo: 0.0386928
Tiempo: 0.0387178
Tiempo: 0.0387123
Tiempo: 0.038638
Tiempo: 0.0386534
Tiempo: 0.0386087
Tiempo: 0.0386201
Tiempo: 0.0386375
Tiempo: 0.0386148
Tiempo: 0.0386624
Tiempo: 0.0389658
Tiempo: 0.0387002
Tiempo: 0.0387104
Tiempo: 0.038672
Tiempo: 0.0387058
Tiempo: 0.0386851
Tiempo: 0.0386772
Tiempo: 0.0386834
Tiempo: 0.038636
Tiempo: 0.038678
Tiempo: 0.0396986
Tiempo: 0.0386443
Tiempo: 0.0388
Tiempo: 0.0387104
Tiempo: 0.0386162
Tiempo: 0.0386689
Tiempo: 0.0386745
Tiempo: 0.038684
Tiempo: 0.0386648
Tiempo: 0.0386863
Tiempo: 0.0386642
Tiempo: 0.0386711
Tiempo: 0.0387174
Tiempo: 0.0386783
Tiempo: 0.0386537
Tiempo: 0.0388225
Tiempo: 0.0385674
Tiempo: 0.0385486
Tiempo: 0.0385039
Tiempo: 0.0385419
Tiempo: 0.0385798
Tiempo: 0.0386568
Tiempo: 0.0385493
Tiempo: 0.0385488
Tiempo: 0.0385094
Tiempo: 0.0385773
Tiempo: 0.0385586
Tiempo: 0.0385945
Tiempo: 0.0385116
Tiempo: 0.0385725
Tiempo: 0.0386415
Tiempo: 0.0386148
Tiempo: 0.0386197
Tiempo: 0.0387239
Tiempo: 0.0386689
Tiempo: 0.0386139
Tiempo: 0.0386533
Tiempo: 0.0387156
Tiempo: 0.0386534
Tiempo: 0.0386774
Tiempo: 0.0386515
Tiempo: 0.038653
Tiempo: 0.0386654
Tiempo: 0.0386403
Tiempo: 0.0386642
Tiempo: 0.0386877
Tiempo: 0.0387504
Tiempo: 0.0386411
Tiempo: 0.038641
Tiempo: 0.0386591
Tiempo: 0.0387311
Tiempo: 0.0386637
Tiempo: 0.0386918
Tiempo: 0.0386452
Tiempo: 0.0386637
Tiempo: 0.0386035
Tiempo: 0.0385891
Tiempo: 0.0386455
Tiempo: 0.0386783
Tiempo: 0.0386531
Tiempo: 0.0387138
Tiempo: 0.0385881
Tiempo: 0.0386804
Tiempo: 0.0386905
Tiempo: 0.0386798
Tiempo: 0.0387118
Tiempo: 0.0386716
Tiempo: 0.0387359
Tiempo: 0.0386693
Tiempo: 0.03871
Tiempo: 0.0385847
Tiempo: 0.0387078
Tiempo: 0.0387143
Tiempo: 0.0386554
Tiempo: 0.0386528
Tiempo: 0.0388468
Tiempo: 0.0387433
Tiempo: 0.0386786
Tiempo: 0.0387424
Tiempo: 0.0387013
Tiempo: 0.0387088
Tiempo: 0.0386725
Tiempo: 0.0386665
Tiempo: 0.0386873
Tiempo: 0.0387243
Tiempo: 0.0386798
Tiempo: 0.0387091
Tiempo: 0.0386828
Tiempo: 0.0387079
Tiempo: 0.0386336
Tiempo: 0.0386414
Tiempo: 0.0386708
Tiempo: 0.0387786
Tiempo: 0.0386363
Tiempo: 0.0387441
Tiempo: 0.0388296
Tiempo: 0.0389903
Tiempo: 0.0388204
Tiempo: 0.0387394
Tiempo: 0.0387797
Tiempo: 0.0387602
Tiempo: 0.0387992
Tiempo: 0.0389903
Tiempo: 0.0390065
Tiempo: 0.0387128
Tiempo: 0.0388392
Tiempo: 0.0387759
Tiempo: 0.0388298
Tiempo: 0.0387685
Tiempo: 0.0389176
Tiempo: 0.0389039
Tiempo: 0.0388366
Tiempo: 0.03888
Tiempo: 0.0389157
Tiempo: 0.0388296
Tiempo: 0.0392022
Tiempo: 0.0402518
Tiempo: 0.0391693
Tiempo: 0.0393712
Tiempo: 0.0397042
Tiempo: 0.0428716
Tiempo: 0.0389562
Tiempo: 0.0390162
Tiempo: 0.0394182
Tiempo: 0.0393322
Tiempo: 0.0391176
Tiempo: 0.0394061
Tiempo: 0.0408891
Tiempo: 0.0402069
Tiempo: 0.0404374
Tiempo: 0.0403177
Tiempo: 0.0411849
Tiempo: 0.0403037
Tiempo: 0.0414793
Tiempo: 0.0396375
Tiempo: 0.0392583
Tiempo: 0.0392191
Tiempo: 0.0392055
Tiempo: 0.0392332
Tiempo: 0.0393253
Tiempo: 0.0393121
Tiempo: 0.0392839
Tiempo: 0.0392563
Tiempo: 0.0392869
Tiempo: 0.0400568
Tiempo: 0.0391018
Tiempo: 0.0391197
Tiempo: 0.0396889
Tiempo: 0.039931
Tiempo: 0.0394541
Tiempo: 0.0396146
Tiempo: 0.0394728
Tiempo: 0.0395672
Tiempo: 0.0392105
Tiempo: 0.0395542
Tiempo: 0.0394442
Tiempo: 0.0394123
Tiempo: 0.0390954
Tiempo: 0.039059
Tiempo: 0.0389811
Tiempo: 0.0393278
Tiempo: 0.0394956
Tiempo: 0.0389945
Tiempo: 0.0390837
Tiempo: 0.0390508
Tiempo: 0.0392953
Tiempo: 0.0391223
Tiempo: 0.0391186
Tiempo: 0.0390477
Tiempo: 0.0396114
Tiempo: 0.0389976
Tiempo: 0.0394014
Tiempo: 0.0436926
Tiempo: 0.0430764
Tiempo: 0.0395293
Tiempo: 0.0393942
Tiempo: 0.0406826
Tiempo: 0.0390782
Tiempo: 0.0390098
Tiempo: 0.0394921
Tiempo: 0.039092
Tiempo: 0.0390453
Tiempo: 0.0390674
Tiempo: 0.0389632
Tiempo: 0.0388521
Tiempo: 0.0402291
Tiempo: 0.0443575
Tiempo: 0.0492937
Tiempo: 0.0429484
Tiempo: 0.0441912
Tiempo: 0.0413922
Tiempo: 0.0402793
Tiempo: 0.041249
Tiempo: 0.0407168
Tiempo: 0.0519731
Tiempo: 0.0572691
Tiempo: 0.0390899
Tiempo: 0.0388336
Tiempo: 0.0390939
Tiempo: 0.0388991
Tiempo: 0.0387972
Tiempo: 0.0387768
Tiempo: 0.0390588
Tiempo: 0.0388761
Tiempo: 0.0388834
Tiempo: 0.0389614
Tiempo: 0.0387599
Tiempo: 0.0391874
Tiempo: 0.0394163
Tiempo: 0.0389694
Tiempo: 0.0390828
Tiempo: 0.0396166
Tiempo: 0.0390449
Tiempo: 0.0389745
Tiempo: 0.039837
Tiempo: 0.0392521
Tiempo: 0.0399746
Tiempo: 0.0407935
Tiempo: 0.0396111
Tiempo: 0.0427668
Tiempo: 0.042505
Tiempo: 0.0410481
Tiempo: 0.0403136
Tiempo: 0.039229
Tiempo: 0.0389849
Tiempo: 0.039244
Tiempo: 0.0391218
Tiempo: 0.0393851
Tiempo: 0.0395288
Tiempo: 0.0430707
Tiempo: 0.0415818
Tiempo: 0.0415003
Tiempo: 0.0416506
Tiempo: 0.0403107
Tiempo: 0.0393147
Tiempo: 0.0393394
Tiempo: 0.039757
Tiempo: 0.0394777
Tiempo: 0.0405401
Tiempo: 0.0401834
Tiempo: 0.0396685
Tiempo: 0.0398168
Tiempo: 0.0397761
Tiempo: 0.0400087
Tiempo: 0.0392579
Tiempo: 0.0397167
Tiempo: 0.0396184
Tiempo: 0.039404
Tiempo: 0.0398102
Tiempo: 0.0405971
Tiempo: 0.0390815
Tiempo: 0.0403281
Tiempo: 0.0396109
Tiempo: 0.0395623
Tiempo: 0.0399876
Tiempo: 0.0396885
Tiempo: 0.0399103
Tiempo: 0.038876
Tiempo: 0.0390888
Tiempo: 0.0388797
Tiempo: 0.0390785
Tiempo: 0.0394809
Tiempo: 0.0400814
Tiempo: 0.0398748
Tiempo: 0.0396116
Tiempo: 0.0396924
Tiempo: 0.0396676
Tiempo: 0.0397158
Tiempo: 0.0398783
Tiempo: 0.0400022
Tiempo: 0.039248
Tiempo: 0.0391352
Tiempo: 0.0389234
Tiempo: 0.038876
Tiempo: 0.0388526
Tiempo: 0.040066
Tiempo: 0.0486948
Tiempo: 0.0547693
Tiempo: 0.05628
Tiempo: 0.0582328
Tiempo: 0.0394872
Tiempo: 0.0424057
Tiempo: 0.0496839
Tiempo: 0.0447191
Tiempo: 0.0411141
Tiempo: 0.0398544
Tiempo: 0.0397583
Tiempo: 0.0393662
Tiempo: 0.0391895
Tiempo: 0.0402849
Tiempo: 0.0407893
Tiempo: 0.0413631
Tiempo: 0.0395412
