Con estrategia
Tablero de 6x6 con 4 caballos preubicados
Tiempo: 7.34456
Tiempo: 7.33239
Tiempo: 7.33227
Tiempo: 7.34399
Tiempo: 7.33227
Tiempo: 7.32925
Tiempo: 7.32961
Tiempo: 7.33156
Tiempo: 7.33066
Tiempo: 7.33202
Tiempo: 7.33872
Tiempo: 7.36377
Tiempo: 7.33282
Tiempo: 7.33232
Tiempo: 7.33347
Tiempo: 7.33325
Tiempo: 7.33791
Tiempo: 7.33894
Tiempo: 7.33353
Tiempo: 7.33298
Tiempo: 7.35043
Tiempo: 7.34405
Tiempo: 7.33754
Tiempo: 7.33384
Tiempo: 7.33371
Tiempo: 7.33167
Tiempo: 7.33185
Tiempo: 7.36333
Tiempo: 7.33708
Tiempo: 7.32136
Tiempo: 7.33667
Tiempo: 7.32794
Tiempo: 7.32287
Tiempo: 7.32179
Tiempo: 7.32761
Tiempo: 7.3307
Tiempo: 7.33578
Tiempo: 7.33168
Tiempo: 7.32955
Tiempo: 7.33017
Tiempo: 7.33177
Tiempo: 7.3307
Tiempo: 7.33111
Tiempo: 7.35245
Tiempo: 7.34871
Tiempo: 7.33257
Tiempo: 7.33316
Tiempo: 7.33311
Tiempo: 7.33448
Tiempo: 7.33081
Tiempo: 7.33384
Tiempo: 7.33113
Tiempo: 7.33285
Tiempo: 7.33228
Tiempo: 7.33119
Tiempo: 7.33293
Tiempo: 7.33515
Tiempo: 7.33239
Tiempo: 7.33372
Tiempo: 7.33782
Tiempo: 7.36286
Tiempo: 7.33255
Tiempo: 7.33212
Tiempo: 7.33162
Tiempo: 7.34209
Tiempo: 7.41245
Tiempo: 7.37045
